EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 28-01-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGHT   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

   31,100838,MARSEILLE OBS. PALAIS-LONCHAMP          ,FR,+43:18:18,+005:23:48,  75, TG5,19000101,20021231,   10,Jean-Michel Soubeyroux                            
   31,104894,MARSEILLE OBS. PALAIS-LONCHAMP          ,FR,+43:18:18,+005:23:48,  75, RR3,18810101,20050101,   10,Jean-Michel Soubeyroux                            
   31,104895,MARSEILLE OBS. PALAIS-LONCHAMP          ,FR,+43:18:18,+005:23:48,  75, TX6,18970101,20030331,   10,Jean-Michel Soubeyroux                            
   31,104896,MARSEILLE OBS. PALAIS-LONCHAMP          ,FR,+43:18:18,+005:23:48,  75, TN2,19580101,20030331,   10,Jean-Michel Soubeyroux                            
   32,100099,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161, TN2,19450301,20201231,   10,Jean-Michel Soubeyroux                            
   32,100100,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161, TX6,19450301,20201231,   10,Jean-Michel Soubeyroux                            
   32,100101,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161, RR9,19450301,20201231,   10,Jean-Michel Soubeyroux                            
   32,100102,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161,PP23,19490101,20201231,   10,Jean-Michel Soubeyroux                            
   32,100839,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161, TG5,19450301,20201231,   10,Jean-Michel Soubeyroux                            
   32,175624,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161,HU13,19450307,20201231,   10,Jean-Michel Soubeyroux                            
   32,175625,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161,FG12,19450307,20201231,   10,Jean-Michel Soubeyroux                            
   32,190843,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161, QQ5,19870301,20191231,   72,Anatoly V. Tsvetkov                               
   33,100103,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151, TN2,19470101,20201231,   10,Jean-Michel Soubeyroux                            
   33,100104,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151, TX6,19470101,20201231,   10,Jean-Michel Soubeyroux                            
   33,100105,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151, RR9,19470101,20201231,   10,Jean-Michel Soubeyroux                            
   33,100106,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151,PP23,19500101,20201231,   10,Jean-Michel Soubeyroux                            
   33,100840,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151, TG5,19470101,20201231,   10,Jean-Michel Soubeyroux                            
   33,175644,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151,HU13,19470101,20201231,   10,Jean-Michel Soubeyroux                            
   33,175645,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151,FG12,19470101,20201231,   10,Jean-Michel Soubeyroux                            
   33,190885,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151, QQ5,19910615,20191231,   72,Anatoly V. Tsvetkov                               
   34,100107,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47, TN2,19201109,20201231,   10,Jean-Michel Soubeyroux                            
   34,100108,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47, TX6,19201109,20201231,   10,Jean-Michel Soubeyroux                            
   34,100109,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47, RR9,19201109,20201231,   10,Jean-Michel Soubeyroux                            
   34,100110,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47,PP23,19490101,20201231,   10,Jean-Michel Soubeyroux                            
   34,100841,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47, TG5,19201109,20201231,   10,Jean-Michel Soubeyroux                            
   34,175646,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47,HU13,19201109,20201231,   10,Jean-Michel Soubeyroux                            
   34,175647,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47,FG12,19201109,20201231,   10,Jean-Michel Soubeyroux                            
   34,190866,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47, QQ5,19780101,20191231,   72,Anatoly V. Tsvetkov                               
   35,100114,CHATEAUROUX DEOLS                       ,FR,+46:52:11,+001:44:27, 158,PP23,19490101,20201231,   10,Jean-Michel Soubeyroux                            
   35,190845,CHATEAUROUX DEOLS                       ,FR,+46:52:11,+001:44:27, 158, QQ5,20090828,20191231,   72,Anatoly V. Tsvetkov                               
   36,100115,PERPIGNAN                               ,FR,+42:44:14,+002:52:22,  42, TN2,19241117,20201231,   10,Jean-Michel Soubeyroux                            
   36,100116,PERPIGNAN                               ,FR,+42:44:14,+002:52:22,  42, TX6,19241117,20201231,   10,Jean-Michel Soubeyroux                            
   36,100117,PERPIGNAN                               ,FR,+42:44:14,+002:52:22,  42, RR9,19241117,20201231,   10,Jean-Michel Soubeyroux                            
